,0
1019,361117.2119482
1020,361117.2119975
1021,361117.2120934
1022,361117.2273164
1023,361117.2274363
1024,361117.227575
1025,361117.2428804
1026,361117.2430562
1027,361117.2738646
1028,361117.2741272
1029,361117.2896701
1030,361117.2898101
1031,361117.2902673
1032,361117.2906287
1033,361117.2908217
1034,361117.2909613
1035,361117.2910872
1036,361117.2912074
1037,361117.2913309
1038,361117.3050506
1039,361117.305276
1040,361117.3058043
1041,361117.3059336
1042,361117.3198885
1043,361117.3201098
1044,361117.320351
1045,361117.3203926
1046,361117.3353622
1047,361117.3355659
1048,361117.3361849
1049,361117.3363547
1050,361117.3365114
1051,361117.3366169
1052,361117.3367349
1053,361117.3509875
1054,361117.3513496
1055,361117.3516616
1056,361117.3660303
1057,361117.3661759
1058,361117.3663326
1059,361117.3664027
1060,361117.3664407
1061,361117.3664671
1062,361117.3812677
1063,361117.3813113
1064,361117.396567
1065,361117.3966561
1066,361117.3967593
1067,361117.3968666
1068,361117.4123619
1069,361117.4124064
1070,361117.4125288
1071,361117.4278905
1072,361117.4280994
1073,361117.4281644
1074,361117.4283142
1075,361117.4283649
1076,361117.4435023
1077,361117.4436598
1078,361117.4437061
1079,361117.4437576
1080,361117.4437845
1081,361117.4595092
1082,361117.4596418
1083,361117.4598542
1084,361117.4599702
1085,361117.4751106
1086,361117.4753948
1087,361117.475624
1088,361117.4757323
1089,361117.4905589
1090,361117.4908042
1091,361117.5054734
1092,361117.5055129
1093,361117.505731
1094,361117.5060184
1095,361117.506193
1096,361117.5211881
1097,361117.5213457
1098,361117.5215807
1099,361117.5370569
1100,361117.5371048
1101,361117.5371342
1102,361117.537202
1103,361117.5372368
1104,361117.5526374
1105,361117.5527311
1106,361117.5527819
1107,361117.5683777
1108,361117.5841597
1109,361117.5842398
1110,361117.5842688
1111,361117.5842929
1112,361117.5843162
1113,361117.5843875
1114,361117.5844527
1115,361117.5844809
1116,361117.5995395
1117,361117.5996549
1118,361117.5997028
1119,361117.5997332
1120,361117.5997484
1121,361117.6300228
1122,361117.6607836
1123,361117.6609215
1124,361117.6609643
1125,361117.6609851
1126,361117.6766118
1127,361117.6769112
1128,361117.677196
1129,361117.6772667
1130,361117.6773053
1131,361117.6773371
1132,361117.677709
1133,361117.6921513
1134,361117.6922157
1135,361117.6922354
1136,361117.6924781
1137,361117.6926196
1138,361117.692802
1139,361117.692865
1140,361117.6928974
1141,361117.6929228
1142,361117.7078396
1143,361117.7081979
1144,361117.7086023
1145,361117.7389303
1146,361117.7391278
1147,361117.7396351
1148,361117.7544551
1149,361117.7545702
1150,361117.7546197
1151,361117.754764
1152,361117.7549996
1153,361117.7554138
1154,361117.7701026
1155,361117.770298
1156,361117.7704019
1157,361117.7706502
1158,361117.7707917
1159,361117.7711073
1160,361117.7713114
1161,361117.786381
1162,361117.7865963
1163,361117.7870075
1164,361117.7870854
1165,361117.787485
1166,361117.801833
1167,361117.8019423
1168,361117.802079
1169,361117.8021888
1170,361117.8177164
1171,361117.8177807
1172,361117.8178871
1173,361117.8331403
1174,361117.8332057
1175,361117.8332272
1176,361117.8332454
1177,361117.849249
1178,361117.8493197
1179,361117.8495672
1180,361117.8496761
1181,361117.8497307
1182,361117.850016
1183,361117.8642345
1184,361117.8644728
1185,361117.8646479
1186,361117.8795403
1187,361117.8796577
1188,361117.8797272
1189,361117.8950639
1190,361117.8951695
1191,361117.8953874
1192,361117.8957253
1193,361117.9106045
1194,361117.9107303
1195,361117.9109442
1196,361117.9110219
1197,361117.9258969
1198,361117.9260752
1199,361117.9262043
1200,361117.9266026
1201,361117.9414379
1202,361117.9416386
1203,361117.9417439
1204,361117.9579012
1205,361117.9581247
1206,361117.9582324
1207,361117.9584237
1208,361117.9588432
1209,361117.9732437
1210,361117.9733854
1211,361117.9734062
1212,361117.9734245
1213,361118.0035731
1214,361118.0190194
1215,361118.0191022
1216,361118.0342223
1217,361118.0344694
1218,361118.0346886
1219,361118.0349684
1220,361118.0351267
1221,361118.0353414
1222,361118.0355898
1223,361118.0358168
1224,361118.036037
1225,361118.0362493
1226,361118.0364968
1227,361118.0503745
1228,361118.0506181
1229,361118.0510218
1230,361118.0515052
1231,361118.0516231
1232,361118.0519098
1233,361118.0659283
1234,361118.0660079
1235,361118.06603
1236,361118.0660563
1237,361118.0818035
1238,361118.0820144
1239,361118.082063
1240,361118.0823388
1241,361118.0970001
1242,361118.0971095
1243,361118.0972588
1244,361118.1123711
1245,361118.1124432
1246,361118.1124713
1247,361118.1125033
1248,361118.1274652
1249,361118.127799
1250,361118.1279642
1251,361118.1433117
1252,361118.1435001
1253,361118.1437594
1254,361118.1442358
1255,361118.1446284
1256,361118.1590785
1257,361118.1592902
1258,361118.1598669
1259,361118.1747388
1260,361118.1749517
1261,361118.1749847
1262,361118.1750447
1263,361118.1751365
1264,361118.1903522
1265,361118.1909105
1266,361118.1911812
1267,361118.2059768
1268,361118.2061668
1269,361118.2062732
1270,361118.2063972
1271,361118.2070027
1272,361118.2214847
1273,361118.2217574
1274,361118.221899
1275,361118.2222415
1276,361118.236983
1277,361118.2371327
1278,361118.2374517
1279,361118.2522343
1280,361118.2524216
1281,361118.2526653
1282,361118.2529935
1283,361118.2675297
1284,361118.267716
1285,361118.2683933
1286,361118.2834624
1287,361118.2836042
1288,361118.2837694
1289,361118.2839314
1290,361118.2841073
1291,361118.2995092
1292,361118.2997092
1293,361118.3000246
1294,361118.3002531
1295,361118.3148464
1296,361118.3302908
1297,361118.3304913
1298,361118.330852
1299,361118.3310873
1300,361118.33163
1301,361118.3321623
1302,361118.3322826
1303,361118.3323805
1304,361118.3455754
1305,361118.3761817
1306,361118.3763798
1307,361118.4077972
1308,361118.4081175
1309,361118.4081769
1310,361118.4082247
1311,361118.4245576
1312,361118.4246678
1313,361118.4247146
1314,361118.4401906
1315,361118.4403353
1316,361118.4407492
1317,361118.4411272
1318,361118.4412434
1319,361118.4413893
1320,361118.4415066
1321,361118.4554718
1322,361118.4557123
1323,361118.4559989
1324,361118.4561171
1325,361118.456415
1326,361118.4566612
1327,361118.470937
1328,361118.4711192
